Unnamed: 0,projectID,condition,reference_condition,title,geo_accession,status,submission_date,last_update_date
GSM313771,102625,A9_anoxic_YEM,110spc4_aerobic _PSY,A9 anoxic YEM 6,GSM313771,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313772,102625,A9_anoxic_YEM,110spc4_aerobic _PSY,A9 anoxic YEM 7,GSM313772,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM399408,116905,110spc4_PSY,110spc4_PSY,110spc4_PSY,GSM399408,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399409,116905,110spc4_PSY,110spc4_PSY,110spc4 PSY 2,GSM399409,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399410,116905,110spc4_PSY,110spc4_PSY,110spc4 PSY 3,GSM399410,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399411,116905,8402_PSY,110spc4_PSY,8402 PSY 1,GSM399411,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399412,116905,8402_PSY,110spc4_PSY,8402 PSY 2,GSM399412,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399413,116905,8402_PSY,110spc4_PSY,8402 PSY 3,GSM399413,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399414,116905,8404_PSY,110spc4_PSY,8404 PSY 1,GSM399414,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399415,116905,8404_PSY,110spc4_PSY,8404 PSY 2,GSM399415,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399417,116905,110spc4_MM_starvation,110spc4_PSY,110spc4 MM starvation 1,GSM399417,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399419,116905,110spc4_MM_starvation,110spc4_PSY,110spc4 MM starvation 3,GSM399419,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399420,116905,8402_MM_starvation,110spc4_PSY,8402 MM starvation 1,GSM399420,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399421,116905,8402_MM_starvation,110spc4_PSY,8402 MM starvation 2,GSM399421,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399422,116905,8402_MM_starvation,110spc4_PSY,8402 MM starvation 3,GSM399422,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399423,116905,8404_MM_starvation,110spc4_PSY,8404 MM starvation 1,GSM399423,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399424,116905,8404_MM_starvation,110spc4_PSY,8404 MM starvation 2,GSM399424,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM399425,116905,8404_MM_starvation,110spc4_PSY,8404 MM starvation 3,GSM399425,Public on Jul 01 2009,Apr 30 2009,Apr 30 2009
GSM534806,102625,7414_microaerobiosis_PSY,110spc4_aerobic _PSY,7414 microaerobiosis PSY 1,GSM534806,Public on Jun 11 2010,Apr 20 2010,Jun 11 2010
GSM534808,102625,7414_microaerobiosis_PSY,110spc4_aerobic _PSY,7414 microaerobiosis PSY 3,GSM534808,Public on Jun 11 2010,Apr 20 2010,Jun 11 2010
GSM2104019,102625,H1_mutant_nodules_soybean_21,110spc4_aerobic _PSY,H1 mutant nodules soybean 21 Days 1,GSM2104019,Public on Nov 28 2016,Apr 01 2016,Nov 28 2016
GSM2104020,102625,H1_mutant_nodules_soybean_21,110spc4_aerobic _PSY,H1 mutant nodules soybean 21 Days 2,GSM2104020,Public on Nov 28 2016,Apr 01 2016,Nov 28 2016
GSM2104021,102625,H1_mutant_nodules_soybean_21,110spc4_aerobic _PSY,H1 mutant nodules soybean 21 Days 3,GSM2104021,Public on Nov 28 2016,Apr 01 2016,Nov 28 2016
GSM281813,106891,pmtA_mutant_strain,wild-type,"Bradyrhizobium japonicum pmtA mutant strain 5569, rep_1",GSM281813,Public on Apr 17 2008,Apr 16 2008,Apr 16 2008
GSM281814,106891,pmtA_mutant_strain,wild-type,"Bradyrhizobium japonicum pmtA mutant strain 5569, rep_2",GSM281814,Public on Apr 17 2008,Apr 16 2008,Apr 16 2008
